mpo,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""42198202""","""Shenango Valley Area Transportation Study""","""Meadville, PA,New Castle, PA,Oil City, PA,Pittsburgh, PA,Youngstown-Warren-Boardman, OH-PA""",110.90,115259.08,45518.97,430428.42,57,66,47,27,34,21,30,33,26,9.07,7.91,1.76,2,2,21794,19447,23559,1,1,1,12786,11114,13826,9553,8226,10331,3218,2872,3478,16,16,16,10,10,10,1.4,5.3,0.46,0.11,4841,74,5446,83,63,19,2659,961,993,570,74,26
"""42200300""","""Lebanon County MPO""","""Harrisburg-Carlisle, PA,Lancaster, PA,Lebanon, PA,Pottsville, PA,Reading, PA""",84.95,135636.66,52216.64,231898.38,50,59,51,26,32,27,24,27,25,9.11,13.09,1.86,2,2,21970,19470,22173,1,1,1,13382,12007,13434,10108,9101,10128,3244,2875,3274,30,31,32,8,9,9,2.2,4.0,1.21,0.23,9397,61,10068,87,37,31,1942,1200,1273,742,70,30
"""42201311""","""Northeastern Pennsylvania Planning Alliance MPO""","""Allentown-Bethlehem-Easton, PA-NJ,Bloomsburg-Berwick, PA,East Stroudsburg, PA,Harrisburg-Carlisle, PA,Lebanon, PA,New York-Newark-Jersey City, NY-NJ-PA,Pottsville, PA,Reading, PA,Scranton--Wilkes-Barre--Hazleton, PA,Sunbury, PA""",322.95,435477.64,162665.40,1480658.89,54,63,54,28,35,29,26,29,26,9.61,7.58,1.94,2,2,23521,20865,23669,1,0,1,14090,12497,14073,10613,9413,10574,3473,3081,3495,4,3,4,3,2,3,1.5,4.4,0.81,0.11,5696,71,6225,85,64,19,2527,1282,1360,722,78,22
"""42201312""","""Susquehanna Economic Development Association Council of Governments""","""Bloomsburg-Berwick, PA,Chambersburg-Waynesboro, PA,Harrisburg-Carlisle, PA,Huntingdon, PA,Lewisburg, PA,Lewistown, PA,Lock Haven, PA,Pottsville, PA,Scranton--Wilkes-Barre--Hazleton, PA,Selinsgrove, PA,State College, PA,Sunbury, PA,Williamsport, PA""",312.96,375508.48,145182.68,2178934.46,56,65,48,27,33,23,29,32,26,9.15,8.88,1.83,2,2,22083,19612,23452,0,0,0,13198,11511,13967,9935,8612,10501,3261,2897,3463,3,2,3,2,2,3,1.4,3.7,0.61,0.07,4567,68,5271,84,65,15,3023,1014,1100,614,72,28
"""42201313""","""Franklin County MPO""","""Chambersburg-Waynesboro, PA,Gettysburg, PA,Hagerstown-Martinsburg, MD-WV,Harrisburg-Carlisle, PA,Huntingdon, PA,Washington-Arlington-Alexandria, DC-VA-MD-WV""",89.17,152398.72,58611.77,494052.63,53,63,53,27,33,27,26,29,26,9.88,6.49,1.92,2,2,23704,21053,23915,0,0,0,13976,12683,14045,10475,9574,10512,3500,3108,3531,1,0,2,1,0,1,1.8,3.7,0.74,0.12,5422,68,6514,85,66,21,2468,1204,1301,791,72,28
"""42201314""","""Adams County Transportation Planning Organization""","""Baltimore-Columbia-Towson, MD,Chambersburg-Waynesboro, PA,Gettysburg, PA,Harrisburg-Carlisle, PA,Washington-Arlington-Alexandria, DC-VA-MD-WV,York-Hanover, PA""",56.04,101772.64,38200.64,331777.81,53,62,58,27,34,31,25,28,27,10.24,5.24,2.05,2,2,24467,21749,24359,0,0,0,15321,13416,14563,11702,10201,10961,3614,3211,3597,5,4,6,1,1,2,1.6,2.4,0.74,0.12,5154,75,5712,86,68,14,2530,1380,1519,829,77,23
"""44197400""","""State Planning Council""","""Boston-Cambridge-Newton, MA-NH,Norwich-New London, CT,Providence-Warwick, RI-MA,Worcester, MA-CT""",811.92,1053665.95,410608.75,661568.41,53,63,56,32,40,33,21,24,22,7.97,23.21,1.68,1,2,19596,17291,19828,4,4,5,12074,10719,12117,9142,8126,9149,2859,2523,2893,72,70,75,67,65,70,2.6,6.8,1.79,0.62,20482,55,25348,88,22,58,2126,1500,1718,853,60,40
"""45196200""","""Greenville-Pickens Area Transportation Study""","""Greenville-Anderson-Mauldin, SC,Spartanburg, SC""",307.38,571917.85,217290.30,491349.88,56,65,48,28,35,24,28,31,25,9.52,9.13,1.80,2,2,22465,19980,23073,0,0,0,12910,11185,13356,9793,8410,10154,3113,2770,3197,5,6,4,5,6,5,3.1,4.1,1.35,0.44,9453,68,14898,87,42,39,2145,1066,1135,738,67,33
"""45197000""","""Columbia Area Transportation Study""","""Columbia, SC,Newberry, SC""",376.91,644164.01,241319.08,669685.13,53,62,49,28,34,25,26,28,24,9.20,10.74,1.78,2,2,22074,19585,22371,1,1,1,12780,11060,12974,9711,8336,9862,3059,2715,3100,11,10,11,11,10,12,3.0,5.2,1.17,0.36,9788,67,15799,87,40,33,2482,1145,1159,826,65,35
"""45197500""","""Spartanburg Area Transportation Study""","""Gaffney, SC,Greenville-Anderson-Mauldin, SC,Spartanburg, SC""",152.76,226763.69,86438.18,266358.33,56,66,46,27,33,21,30,33,25,9.55,5.98,1.79,2,2,22734,20281,23484,0,0,0,12908,11206,13497,9756,8392,10240,3150,2811,3254,3,3,2,5,6,5,3.0,3.9,0.96,0.32,6593,69,9130,86,45,33,2203,956,983,644,67,33
