place,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""2127730""","""Flat Lick""","""London, KY""",0.58,309.86,123.57,3058.91,65,78,43,27,34,16,38,44,27,9.49,0.42,1.79,2,2,22604,20170,24729,1,1,1,12462,11430,14446,9241,8553,10925,3200,2856,3500,20,21,20,17,18,17,3.1,1.4,0.56,0.04,1420,58,1132,80,160,11,2878,726,782,610,69,31
"""2127802""","""Flatwoods""","""Huntington-Ashland, WV-KY-OH""",4.14,5878.89,2394.69,2092.87,54,62,44,25,31,20,29,31,25,9.08,12.99,1.69,2,2,22077,19759,23585,1,1,1,12337,10716,13296,9212,7918,9958,3125,2798,3338,0,0,0,0,0,0,3.8,5.4,1.85,1.14,6083,80,4591,83,22,114,1197,884,917,770,68,32
"""2127846""","""Fleming-Neon""","""""",0.33,224.53,90.63,1033.23,48,57,31,17,22,10,40,46,27,9.18,0.82,1.75,2,2,21638,19264,24853,1,1,1,12101,11059,14592,9018,8311,11053,3064,2727,3518,20,20,21,17,17,18,2.3,2.0,0.95,0.09,1563,70,1080,80,82,23,1936,442,139,406,80,20
"""2127856""","""Flemingsburg""","""""",0.33,438.58,184.24,1703.85,56,66,39,23,29,15,32,37,24,8.83,2.68,1.61,1,2,22181,19858,23405,1,1,1,11486,10436,12968,8328,7605,9638,3140,2812,3313,18,19,17,15,16,15,3.0,5.9,1.15,0.11,2405,51,3141,81,79,17,2346,690,889,455,54,46
"""2127982""","""Florence""","""Cincinnati, OH-KY-IN""",15.04,25732.44,10304.98,6635.50,44,53,46,23,28,23,22,24,23,8.70,20.29,1.69,2,2,20820,18423,20983,2,2,2,12146,10830,12171,9174,8199,9175,2947,2608,2970,25,23,26,20,19,21,5.1,6.5,3.57,1.55,13122,51,22525,88,23,74,1517,1046,1145,894,55,45
"""2128270""","""Fordsville""","""""",0.01,8.67,3.92,286.44,54,63,42,18,23,13,36,40,28,9.07,0.13,2.04,2,2,24701,22088,25580,1,1,1,14590,12913,15334,11080,9772,11697,3496,3127,3621,14,14,16,12,12,14,1.1,2.1,0.26,0.01,1134,71,1206,80,343,4,4647,604,637,487,79,21
"""2128342""","""Forest Hills""","""Louisville/Jefferson County, KY-IN""",0.49,662.03,274.55,185.01,51,60,49,27,33,25,25,27,24,8.85,13.22,1.77,2,2,21059,18729,21427,1,1,1,12607,11156,12860,9612,8490,9813,2981,2651,3033,14,16,14,17,19,17,4.5,7.6,3.96,1.48,20053,81,42770,91,12,85,1065,1135,1287,589,78,22
"""2128486""","""Fort Campbell North""","""Clarksville, TN-KY""",11.00,13936.00,2708.00,3244.50,49,57,43,27,34,24,22,24,19,7.73,22.98,1.40,1,1,17783,15710,17788,3,2,3,10129,8764,10336,7608,6536,7814,2517,2224,2518,5,4,4,4,4,4,7.2,4.3,2.55,0.83,5482,5,3917,83,13,92,804,1056,,1056,0,100
"""2128540""","""Fort Knox""","""Elizabethtown-Fort Knox, KY""",7.29,8448.02,2220.31,13183.95,50,59,46,28,35,26,22,24,20,8.75,7.25,1.47,1,1,19398,17457,19576,1,1,1,10785,9439,10955,8016,6942,8160,2745,2472,2771,24,25,24,20,21,21,6.0,3.5,1.18,0.17,3247,21,3068,83,28,45,1815,1154,,1154,1,99
"""2128558""","""Fort Mitchell""","""Cincinnati, OH-KY-IN""",4.55,7573.55,2916.73,1979.93,52,61,53,30,37,31,22,24,23,8.83,15.71,1.68,1,2,20317,18145,20469,3,3,3,12083,10667,12133,9167,8058,9194,2876,2568,2897,40,41,41,33,33,34,5.5,8.0,3.80,1.47,14513,63,19522,87,10,140,900,1376,1660,753,65,35
