NAME,GEO_ID,Households 2015,Annual Median Household Income 2015,Monthly Median Household Income 2015,Annual Transportation Cost 2015,Monthly Transportation Cost 2015,Annual Housing Cost 2015,Monthly Housing Cost 2015,Annual Housing and Transportation Cost 2015,Monthly Housing and Transportation Cost 2015,Transportation Cost as Percent of Monthly Median Household Income 2015,Transportation Cost as Percent of Annual Median Household Income 2015,Housing Cost as Percent of Monthly Median Household Income 2015,Housing Cost as Percent of Annual Median Household Income 2015,Housing and Transportation Cost as Percent of Monthly Median Household Income 2015,Housing and Transportation Cost as Percent of Annual Median Household Income 2015,Difference Annual Median Household Income and Total Annual Costs 2015,Households 2019,Annual Median Household Income 2019,Monthly Median Household Income 2019,Annual Transportation Cost 2019,Monthly Transportation Cost 2019,Annual Housing Cost 2019,Monthly Housing Cost 2019,Annual Housing and Transportation Cost 2019,Monthly Housing and Transportation Cost 2019,Transportation Cost as Percent of Monthly Median Household Income 2019,Transportation Cost as Percent of Annual Median Household Income 2019,Housing Cost as Percent of Monthly Median Household Income 2019,Housing Cost as Percent of Annual Median Household Income 2019,Housing and Transportation Cost as Percent of Monthly Median Household Income 2019,Housing and Transportation Cost as Percent of Annual Median Household Income 2019,Difference Annual Median Household Income and Total Annual Costs 2019,Change in Annual MHI,Percent Change in Annual MHI,Change in Monthly MHI,Percent Change in Monthly MHI,Change in Annual Transportation Cost,Percent Change in Annual Transportation Cost,Change in Monthly Transportation Cost,Percent Change in Monthly Transportation Cost,Change in Annual Housing and Transportation Cost,Percent Change in Annual Housing and Transportation Cost,Change in Monthly Housing and Transportation Cost,Percent Change in Monthly Housing and Transportation Cost,Change in Difference Annual Median Household Income and Total Annual Costs,Percent Change in Difference Annual Median Household Income and Total Annual Costs
"Berry Hill city, Tennessee",1600000US4705140,384.0,51591.0,4299.25,11330.0,944.1666666666666,14076.0,1173.0,25406.0,2117.1666666666665,21.961194782035626,21.961194782035626,27.28382857475141,27.28382857475141,49.24502335678703,49.24502335678704,26185.0,747.0,60625.0,5052.083333333333,11380.0,948.3333333333334,18108.0,1509.0,29488.0,2457.333333333333,18.77113402061856,18.77113402061856,29.868865979381443,29.868865979381443,48.64000000000001,48.64,31137.0,9034.0,17.510806148359208,752.833333333333,17.510806148359205,50.0,0.44130626654898497,4.1666666666667425,0.441306266548993,4082.0,16.06707077068409,340.1666666666665,16.067070770684083,4952.0,18.911590605308383
"Brentwood city, Tennessee",1600000US4708280,12949.0,141833.0,11819.416666666666,14019.0,1168.25,30816.0,2568.0,44835.0,3736.25,9.884159539740399,9.884159539740399,21.726960580400895,21.726960580400895,31.611120120141294,31.611120120141294,96998.0,13899.0,168688.0,14057.333333333334,15818.0,1318.1666666666667,33420.0,2785.0,49238.0,4103.166666666667,9.377074836384333,9.377074836384333,19.811723418381863,19.811723418381867,29.1887982547662,29.1887982547662,119450.0,26855.0,18.93423956343023,2237.916666666668,18.934239563430243,1799.0,12.832584349810972,149.91666666666674,12.832584349810977,4403.0,9.820452771272443,366.91666666666697,9.820452771272452,22452.0,23.1468690076084
"Burns town, Tennessee",1600000US4709880,562.0,45104.0,3758.6666666666665,14911.0,1242.5833333333333,12708.0,1059.0,27619.0,2301.5833333333335,33.05915218162469,33.05915218162469,28.174884710890385,28.174884710890385,61.234036892515086,61.23403689251508,17485.0,627.0,58920.0,4910.0,16901.0,1408.4166666666667,13404.0,1117.0,30305.0,2525.4166666666665,28.684657162253902,28.684657162253902,22.74949083503055,22.74949083503055,51.434147997284455,51.434147997284455,28615.0,13816.0,30.631429584959207,1151.3333333333335,30.631429584959214,1990.0,13.345852055529475,165.83333333333348,13.34585205552949,2686.0,9.725189181360658,223.83333333333303,9.725189181360644,11130.0,63.65456105233057
"Cedar Hill city, Tennessee",1600000US4711980,108.0,37206.0,3100.5,15655.0,1304.5833333333333,14052.0,1171.0,29707.0,2475.5833333333335,42.076546793527925,42.076546793527925,37.768101919045314,37.768101919045314,79.84464871257325,79.84464871257325,7499.0,113.0,31875.0,2656.25,17994.0,1499.5,17472.0,1456.0,35466.0,2955.5,56.451764705882354,56.451764705882354,54.81411764705882,54.81411764705882,111.26588235294118,111.26588235294118,-3591.0,-5331.0,-14.328334139654894,-444.25,-14.328334139654894,2339.0,14.940913446183329,194.91666666666674,14.940913446183334,5759.0,19.386003298885786,479.9166666666665,19.386003298885775,-11090.0,-147.88638485131352
"Charlotte town, Tennessee",1600000US4713080,566.0,28667.0,2388.9166666666665,14343.0,1195.25,10908.0,909.0,25251.0,2104.25,50.03313914954478,50.033139149544766,38.05072034046116,38.05072034046116,88.08385949000593,88.08385949000593,3416.0,537.0,42981.0,3581.75,,,,,,,,,,,,,,14314.0,49.93197753514494,1192.8333333333335,49.93197753514495,,,,,,,,,,
"Clarksville city, Tennessee",1600000US4715160,51776.0,46947.0,3912.25,12847.0,1070.5833333333333,12408.0,1034.0,25255.0,2104.5833333333335,27.364900845634438,27.364900845634438,26.429803821330438,26.429803821330438,53.794704666964876,53.794704666964876,21692.0,56260.0,53604.0,4467.0,13965.0,1163.75,12336.0,1028.0,26301.0,2191.75,26.052160286545774,26.052160286545774,23.01320796955451,23.01320796955451,49.06536825610029,49.06536825610029,27303.0,6657.0,14.17981979679213,554.75,14.17981979679213,1118.0,8.70242079863003,93.16666666666674,8.702420798630039,1046.0,4.141754108097406,87.16666666666652,4.141754108097398,5611.0,25.866678959985244
"Columbia city, Tennessee",1600000US4716540,14075.0,36426.0,3035.5,12618.0,1051.5,10608.0,884.0,23226.0,1935.5,34.640092241805306,34.640092241805306,29.1220556745182,29.1220556745182,63.76214791632351,63.76214791632351,13200.0,15070.0,49284.0,4107.0,13856.0,1154.6666666666667,11364.0,947.0,25220.0,2101.6666666666665,28.114601087574066,28.11460108757406,23.0581933284636,23.0581933284636,51.17279441603766,51.17279441603766,24064.0,12858.0,35.29896227969033,1071.5,35.29896227969033,1238.0,9.811380567443335,103.16666666666674,9.811380567443342,1994.0,8.58520623439249,166.16666666666652,8.585206234392484,10864.0,82.3030303030303
"Coopertown town, Tennessee",1600000US4716980,1449.0,62375.0,5197.916666666667,15404.0,1283.6666666666667,16056.0,1338.0,31460.0,2621.6666666666665,24.695791583166333,24.695791583166333,25.741082164328656,25.741082164328656,50.43687374749498,50.43687374749499,30915.0,1614.0,77667.0,6472.25,18081.0,1506.75,16656.0,1388.0,34737.0,2894.75,23.280157595890145,23.280157595890145,21.44540152188188,21.44540152188188,44.72555911777203,44.72555911777203,42930.0,15292.0,24.51623246492986,1274.333333333333,24.516232464929853,2677.0,17.378602960270058,223.08333333333326,17.378602960270054,3277.0,10.416401780038145,273.0833333333335,10.41640178003815,12015.0,38.864628820960704
"Cross Plains city, Tennessee",1600000US4718420,687.0,64554.0,5379.5,14699.0,1224.9166666666667,16152.0,1346.0,30851.0,2570.9166666666665,22.770083960715063,22.77008396071506,25.020912724230875,25.020912724230875,47.79099668494594,47.79099668494594,33703.0,689.0,63107.0,5258.916666666667,17049.0,1420.75,17124.0,1427.0,34173.0,2847.75,27.01602040978021,27.016020409780214,27.13486617966311,27.134866179663117,54.15088658944333,54.15088658944333,28934.0,-1447.0,-2.2415342194132046,-120.58333333333303,-2.241534219413199,2350.0,15.987482141642289,195.83333333333326,15.987482141642282,3322.0,10.767884347346927,276.8333333333335,10.767884347346932,-4769.0,-14.150075660920391
"Cumberland City town, Tennessee",1600000US4718820,142.0,18750.0,1562.5,13925.0,1160.4166666666667,10524.0,877.0,24449.0,2037.4166666666667,74.26666666666667,74.26666666666667,56.128,56.128,130.3946666666667,130.39466666666667,-5699.0,148.0,24375.0,2031.25,15413.0,1284.4166666666667,10848.0,904.0,26261.0,2188.4166666666665,63.23282051282052,63.23282051282051,44.50461538461538,44.50461538461538,107.7374358974359,107.7374358974359,-1886.0,5625.0,30.0,468.75,30.0,1488.0,10.685816876122082,124.0,10.68581687612208,1812.0,7.411346067323817,150.99999999999977,7.411346067323805,3813.0,-66.90647482014388
