Households 2015,Annual Median Household Income 2015,Monthly Median Household Income 2015,Annual Transportation Cost 2015,Monthly Transportation Cost 2015,Annual Housing Cost 2015,Monthly Housing Cost 2015,Annual Housing and Transportation Cost 2015,Monthly Housing and Transportation Cost 2015,Transportation Cost as Percent of Monthly Median Household Income 2015,Transportation Cost as Percent of Annual Median Household Income 2015,Housing Cost as Percent of Monthly Median Household Income 2015,Housing Cost as Percent of Annual Median Household Income 2015,Housing and Transportation Cost as Percent of Monthly Median Household Income 2015,Housing and Transportation Cost as Percent of Annual Median Household Income 2015,Difference Annual Median Household Income and Total Annual Costs 2015
6821.0,53763.0,4480.25,12652.0,1054.3333333333333,15036.0,1253.0,27688.0,2307.3333333333335,23.53291296988635,23.53291296988635,27.967189330952515,27.967189330952515,51.50010230083887,51.50010230083887,26075.0
2533.0,49491.0,4124.25,14646.0,1220.5,14304.0,1192.0,28950.0,2412.5,29.593259380493425,29.593259380493425,28.9022246469055,28.9022246469055,58.49548402739892,58.49548402739892,20541.0
20898.0,61786.0,5148.833333333333,13293.0,1107.75,16644.0,1387.0,29937.0,2494.75,21.51458259152559,21.51458259152559,26.9381413265141,26.9381413265141,48.45272391803969,48.45272391803969,31849.0
1043.0,65767.0,5480.583333333333,15105.0,1258.75,16536.0,1378.0,31641.0,2636.75,22.967445679444097,22.967445679444097,25.143308954338806,25.1433089543388,48.1107546337829,48.110754633782896,34126.0
2074.0,29181.0,2431.75,13846.0,1153.8333333333333,8856.0,738.0,22702.0,1891.8333333333333,47.44868236181076,47.44868236181077,30.348514444330217,30.348514444330217,77.79719680614097,77.79719680614097,6479.0
10672.0,54659.0,4554.916666666667,13964.0,1163.6666666666667,13620.0,1135.0,27584.0,2298.6666666666665,25.5474853180629,25.5474853180629,24.918128761960517,24.91812876196052,50.465614080023414,50.465614080023414,27075.0
10571.0,41515.0,3459.5833333333335,12973.0,1081.0833333333333,12300.0,1025.0,25273.0,2106.0833333333335,31.24894616403709,31.248946164037093,29.62784535709984,29.62784535709984,60.876791521136944,60.876791521136944,16242.0
715.0,41550.0,3462.5,13889.0,1157.4166666666667,11388.0,949.0,25277.0,2106.4166666666665,33.427196149217814,33.42719614921781,27.407942238267147,27.407942238267147,60.83513838748495,60.83513838748495,16273.0
2510.0,58803.0,4900.25,14103.0,1175.25,14784.0,1232.0,28887.0,2407.25,23.98347023111066,23.98347023111066,25.1415744094689,25.1415744094689,49.12504464057956,49.12504464057956,29916.0
67.0,36250.0,3020.8333333333335,15071.0,1255.9166666666667,13416.0,1118.0,28487.0,2373.9166666666665,41.575172413793105,41.575172413793105,37.009655172413794,37.009655172413794,78.58482758620688,78.5848275862069,7763.0
10095.0,75973.0,6331.083333333333,13936.0,1161.3333333333333,16620.0,1385.0,30556.0,2546.3333333333335,18.34335882484567,18.34335882484567,21.876192857989025,21.87619285798902,40.2195516828347,40.21955168283469,45417.0
1884.0,34963.0,2913.5833333333335,14008.0,1167.3333333333333,10620.0,885.0,24628.0,2052.3333333333335,40.06521179532648,40.06521179532649,30.374967823127303,30.374967823127307,70.4401796184538,70.4401796184538,10335.0
